,actual,p10,p50,p90,p50_under_pct,captured_by_p90
2025-05-01 15:30:00,6045.686666666666,5510.476488685678,5900.949640027079,6401.256674602034,2.3940543832283705,True
2025-05-02 00:00:00,5811.936666666666,5210.724634881047,5597.739126564311,6073.723466217856,3.685476156869478,True
2025-05-03 23:00:00,4688.066666666667,4336.956283773153,4648.880518327614,5086.730200093059,0.8358701171567463,True
2025-05-04 22:45:00,4739.849999999999,4338.124491943205,4579.666431189802,5001.070822590519,3.3795071322973804,True
2025-05-05 15:00:00,4832.349999999999,4495.504245590173,4807.61866099786,5192.645585206312,0.5117869980886953,True
2025-05-06 15:15:00,5082.766666666667,4698.708783655762,5026.059078758339,5435.016087951922,1.1156834776662696,True
2025-05-07 15:15:00,5363.330000000001,4869.5691105702,5198.342892162014,5610.067914185273,3.0762065328440817,True
2025-05-08 15:30:00,5458.639999999999,5020.881920279998,5392.593618395958,5836.7320067495075,1.2099420662297025,True
2025-05-09 15:15:00,5733.2733333333335,4912.222334259123,5275.391695764746,5705.967064150877,7.986391210522912,False
2025-05-10 00:00:00,5488.576666666667,4665.052434458162,4957.613425153861,5419.922180351133,9.6739696602484,False
2025-05-11 23:45:00,5192.875,4781.059935849451,5050.305680949058,5522.9078436755,2.7454795089606794,True
2025-05-12 23:15:00,5795.666666666667,4970.313749612571,5325.574223865627,5772.705781172449,8.11110213609663,False
2025-05-13 15:15:00,6333.463333333333,5244.812164667851,5611.571257705056,6094.565127348608,11.398061970753394,False
2025-05-14 15:15:00,6126.110000000001,5879.636050275891,6286.384176568435,6836.393442863006,-2.61624712204701,True
2025-05-15 23:15:00,6407.633333333334,5615.557399664259,6016.888290940753,6542.316757753621,6.098118011214454,True
2025-05-16 15:15:00,6823.466666666667,5832.370336247982,6236.395648810568,6785.004803530637,8.603706100361,False
2025-05-17 14:30:00,6182.259999999999,5953.531666560609,6280.357226402782,6886.553232971064,-1.5867534914866464,True
2025-05-18 23:15:00,6816.413333333333,5432.7147603976455,5718.288457022899,6259.439117287681,16.110010097838856,False
2025-05-19 23:00:00,7229.366666666666,6325.66613801796,6758.486063977865,7344.16948645129,6.513441970787675,True
2025-05-20 23:00:00,7507.266666666666,6593.7249888669085,7049.451026221268,7663.6794469229535,6.098299964195559,True
2025-05-21 15:30:00,7700.263333333333,6762.968495245813,7224.620512651401,7861.564693105139,6.176968242409873,True
2025-05-22 23:15:00,6254.806666666666,5830.123520069012,6243.34815752479,6791.514527331282,0.18319525690445015,True
2025-05-23 15:30:00,6591.983333333334,6034.3622340179445,6452.064203863349,7014.345923764737,2.122564976195605,True
2025-05-24 23:30:00,6804.903333333333,5952.786573527012,6306.007450058903,6900.6918540148245,7.331417638669816,True
2025-05-25 00:00:00,6745.193333333334,5804.422000859569,6148.574094834326,6730.7507123820415,8.845102119618126,False
2025-05-26 23:00:00,6059.843333333333,5573.026865287847,6022.233557130725,6531.413206408542,0.6206394148133924,True
2025-05-27 23:00:00,6658.78,5840.060176809591,6266.949901069042,6795.309537524057,5.884412744240796,True
2025-05-28 23:00:00,6984.96,6092.205002310483,6546.223476613265,7107.342249377352,6.281160141027793,True
2025-05-29 15:15:00,7302.6033333333335,6308.868970767276,6755.462911651147,7345.920260642672,7.492402321576459,True
2025-05-30 00:00:00,6253.113333333334,6135.2102735421695,6568.549348661581,7134.946108522795,-5.044463429868751,True
2025-05-31 15:15:00,6311.150000000001,5636.513716435027,5950.815414901257,6512.362218159869,5.709491694837603,True
2025-06-01 00:00:00,5673.986666666667,5504.583552375687,5826.273336104686,6367.864603591282,-2.68394478846183,True
2025-06-02 14:30:00,5819.610000000001,5469.238791684979,5841.411079335841,6339.408902385939,-0.3746140950311235,True
2025-06-03 00:00:00,5511.349999999999,5178.185199371899,5547.628956328347,6012.277140339276,-0.6582589806190445,True
2025-06-04 15:00:00,5499.05,5234.698013056592,5600.698699136977,6066.672901097628,-1.8484774485952407,True
2025-06-05 00:00:00,5499.05,5082.778828906651,5458.385204219511,5910.44068845423,0.7394876529671294,True
2025-06-06 15:30:00,6126.25,4958.476951919486,5319.969625143797,5771.95550050939,13.161075288409757,False
2025-06-07 23:15:00,6548.986666666667,5683.681743399504,6015.910353565485,6580.348160743649,8.139828957271483,True
2025-06-08 23:15:00,7049.886666666666,5914.2833952820565,6249.304231729127,6842.463357636895,11.35596177344041,False
2025-06-09 23:15:00,7327.263333333333,6627.012262071779,7086.901927187509,7711.233325811257,3.2803707907202924,True
2025-06-10 00:00:00,7214.393333333333,6233.940341976238,6671.05429851561,7261.165626966715,7.531319817388991,True
2025-06-11 22:45:00,8180.7699999999995,5356.06117113517,5761.230101985703,6280.191638829425,29.575943316024002,False
2025-06-12 23:00:00,8392.566666666668,7105.555389986078,7601.880652833133,8276.536992056434,9.421265808634633,False
2025-06-13 14:45:00,8389.246666666666,7297.737122736523,7803.383759651177,8503.690397936647,6.983498403299097,True
2025-06-14 23:00:00,7938.963333333333,7055.784722258368,7481.652834629563,8192.094693035377,5.760330152724858,True
2025-06-15 00:00:00,7778.443333333334,6901.440134145453,7317.334697831441,8015.803497967279,5.928032329115025,True
2025-06-16 00:00:00,7143.706666666666,7181.44022015461,7683.0075120971605,8366.045434141677,-7.549313970951979,True
2025-06-17 14:00:00,6997.900000000001,5837.706163383769,6235.374957844916,6761.780562915263,10.896483833079703,False
2025-06-18 23:15:00,6480.610000000001,5756.304005595314,6202.350761428135,6728.218332750637,4.293719859270428,True
2025-06-19 23:15:00,6899.1033333333335,6100.00327586574,6568.859405873911,7128.688710019738,4.786765924548977,True
2025-06-20 00:00:00,6704.906666666667,5896.821081134196,6354.3271841633195,6897.986271252994,5.22870041198705,True
2025-06-21 23:15:00,6943.4766666666665,6245.895069331321,6650.947823420665,7265.681118331481,4.213002466766184,True
2025-06-22 23:30:00,6823.173333333333,6373.075904817543,6772.834925256245,7405.018739178588,0.7377565484254891,True
2025-06-23 15:00:00,7475.22,6197.822944347891,6648.225788659329,7213.382554002423,11.06314210606071,False
2025-06-24 23:15:00,7073.38,6339.985647362922,6821.910427414729,7412.170753606382,3.5551542909510125,True
2025-06-25 15:00:00,7049.366666666666,6588.579929312645,7068.303709968224,7679.95753398775,-0.26863467595044005,True
2025-06-26 15:00:00,7421.0,6505.419516338389,6954.218563833493,7539.739998132977,6.290007224989987,True
2025-06-27 23:15:00,7584.373333333333,6721.389832469026,7233.054339136297,7858.991367779679,4.6321426801735655,True
2025-06-28 00:00:00,7434.57,6521.8088538928305,6938.087828864427,7589.095064419408,6.678021339977599,True
2025-06-29 00:00:00,6437.04,6675.805312865639,7109.509001943303,7776.779175410054,-10.446866913104515,True
2025-06-30 15:00:00,5849.516666666666,5670.16178249904,6075.346640701442,6583.773860812595,-3.8606604084344687,True
