timestamp,actual,p10,p50,p90,reliability,temp_corr,p10_base,p90_base,stress_day
2025-05-01 00:00:00,5705.53,5207.962506195723,5610.899195003386,5992.529555412151,HIGH,30.790000000000003,5207.962506195723,5992.529555412151,
2025-05-01 00:15:00,5630.183333333333,5135.055095895455,5535.982270748368,5912.000905043727,HIGH,30.55666666666667,5135.055095895455,5912.000905043726,
2025-05-01 00:30:00,5534.97,5043.500633009209,5441.737714978293,5810.460182663733,HIGH,30.323333333333334,5043.50063300921,5810.460182663733,
2025-05-01 00:45:00,5452.886666666666,4965.358497354084,5360.979382150112,5723.636572620669,HIGH,30.09,4965.358497354085,5723.636572620669,
2025-05-01 01:00:00,5374.31,4863.383365475658,5255.564558550383,5609.987405643945,HIGH,29.856666666666666,4863.383365475658,5609.987405643945,
2025-05-01 01:15:00,5293.573333333334,4774.562461275281,5164.432730757318,5511.950781145204,HIGH,29.658333333333335,4774.562461275281,5511.950781145204,
2025-05-01 01:30:00,5212.766666666666,4696.514885132214,5084.061231509617,5425.646736065057,HIGH,29.46,4696.514885132214,5425.646736065057,
2025-05-01 01:45:00,5117.553333333333,4607.598261919981,4992.28580072527,5326.932884823122,HIGH,29.261666666666667,4607.598261919982,5326.932884823121,
2025-05-01 02:00:00,5031.446666666667,4518.687101365889,4900.235771797363,5227.923535547057,HIGH,29.063333333333333,4518.687101365889,5227.923535547057,
2025-05-01 02:15:00,4935.91,4445.49409685133,4824.354623429651,5146.532866830758,HIGH,28.956666666666667,4445.49409685133,5146.5328668307575,
2025-05-01 02:30:00,4871.596666666667,4372.300379628863,4748.187100885731,5064.822776207322,HIGH,28.85,4372.300379628863,5064.822776207321,
2025-05-01 02:45:00,4811.926666666666,4301.995328303202,4674.6905980252095,4986.008353218272,HIGH,28.743333333333332,4301.995328303203,4986.008353218272,
2025-05-01 03:00:00,4735.650000000001,4228.6085552428,4597.752663920117,4903.427679883869,HIGH,28.636666666666667,4228.6085552428,4903.427679883869,
2025-05-01 03:15:00,4677.403333333333,4159.065687933479,4524.106287440074,4824.394825202848,HIGH,28.450833333333332,4159.065687933479,4824.394825202848,
