,gross_p50,gross_p10,gross_p90,p50,p10,p90,solar_mw
2025-06-11 23:15:00,7461.86326406573,6573.499979969628,8320.627301562354,7461.86326406573,6573.499979969628,8320.627301562354,0.0
2025-06-11 23:30:00,7454.473401406185,6571.0164094770425,8313.479941338755,7454.473401406185,6571.0164094770425,8313.479941338755,0.0
2025-06-11 23:45:00,7436.218992386253,6558.407477422692,8293.955168428458,7436.218992386253,6558.407477422692,8293.955168428458,0.0
2025-06-12 00:00:00,7352.604847576217,6746.721217351135,7942.898264047544,7352.604847576217,6746.721217351135,7942.898264047544,0.0
2025-06-12 00:15:00,7306.578017368612,6705.056950578806,7893.271981037238,7306.578017368612,6705.056950578806,7893.271981037238,0.0
2025-06-12 00:30:00,7233.381201867566,6637.215450032647,7813.735938737032,7233.381201867566,6637.215450032647,7813.735938737032,0.0
2025-06-12 00:45:00,7158.824628668388,6568.326914895646,7732.736170661083,7158.824628668388,6568.326914895646,7732.736170661083,0.0
2025-06-12 01:00:00,7071.779217311259,6487.570605839511,7637.9985014897975,7071.779217311259,6487.570605839511,7637.9985014897975,0.0
2025-06-12 01:15:00,7001.509148100306,6421.013840019939,7561.864336227469,7001.509148100306,6421.013840019939,7561.864336227469,0.0
2025-06-12 01:30:00,6925.069533637043,6348.756006161047,7478.94593620183,6925.069533637043,6348.756006161047,7478.94593620183,0.0
2025-06-12 01:45:00,6855.717375924466,6283.70538761465,7403.850836632212,6855.717375924466,6283.70538761465,7403.850836632212,0.0
2025-06-12 02:00:00,6771.966448240135,6204.956435938901,7312.887318698271,6771.966448240135,6204.956435938901,7312.887318698271,0.0
2025-06-12 02:15:00,6701.945748105785,6139.484706737023,7237.071701395767,6701.945748105785,6139.484706737023,7237.071701395767,0.0
2025-06-12 02:30:00,6635.883358704432,6078.186089751156,7165.610834798075,6635.883358704432,6078.186089751156,7165.610834798075,0.0
2025-06-12 02:45:00,6563.608276590458,6011.16305549838,7087.286369817289,6563.608276590458,6011.16305549838,7087.286369817289,0.0
2025-06-12 03:00:00,6480.594319478442,5934.010300553289,6997.102592162977,6480.594319478442,5934.010300553289,6997.102592162977,0.0
2025-06-12 03:15:00,6404.270645996266,5862.88103337056,6914.295749661406,6404.270645996266,5862.88103337056,6914.295749661406,0.0
2025-06-12 03:30:00,6345.865416858601,5809.506810241424,6851.207748312733,6345.865416858601,5809.506810241424,6851.207748312733,0.0
2025-06-12 03:45:00,6272.591713691209,5741.974555972272,6771.689995039621,6272.591713691209,5741.974555972272,6771.689995039621,0.0
2025-06-12 04:00:00,6193.412540838875,5669.00135910232,6685.617106549693,6193.412540838875,5669.00135910232,6685.617106549693,0.0
2025-06-12 04:15:00,6117.208757550469,5598.012102815795,6602.81743124052,6117.208757550469,5598.012102815795,6602.81743124052,0.0
2025-06-12 04:30:00,6054.083028296036,5540.041361945537,6534.378211130346,6054.083028296036,5540.041361945537,6534.378211130346,0.0
2025-06-12 04:45:00,5990.427036493451,5481.835720141234,6465.293211718092,5990.427036493451,5481.835720141234,6465.293211718092,0.0
2025-06-12 05:00:00,5909.0815290077435,5406.6847451958,6376.6420847114305,5909.0815290077435,5406.6847451958,6376.6420847114305,0.0
2025-06-12 05:15:00,5833.173240424079,5324.570489166208,6294.369639603821,5833.173240424079,5324.570489166208,6294.369639603821,0.0
2025-06-12 05:30:00,5737.167311028812,5223.142160952543,6189.867657670693,5737.167311028812,5223.142160952543,6189.867657670693,0.0
2025-06-12 05:45:00,5636.051375538872,5116.9717323293735,6079.65382895455,5636.051375538872,5116.9717323293735,6079.65382895455,0.0
2025-06-12 06:00:00,5582.490837275378,5057.298619409123,6021.780281369636,5582.490837275378,5057.298619409123,6021.780281369636,0.0
2025-06-12 06:15:00,5555.22906522727,5029.474293462015,5992.591064311647,5555.22906522727,5029.474293462015,5992.591064311647,0.0
2025-06-12 06:30:00,5535.1653586194925,5008.838055426646,5971.248090846533,5535.1653586194925,5008.838055426646,5971.248090846533,0.0
2025-06-12 06:45:00,5475.932418684213,4950.247004849997,5906.635856946366,5475.932418684213,4950.247004849997,5906.635856946366,0.0
2025-06-12 07:00:00,5461.412708444816,4935.31808597497,5891.220115147238,5461.412708444816,4935.31808597497,5891.220115147238,0.0
2025-06-12 07:15:00,5468.634709558822,4939.254204873136,5899.764677515376,5468.634709558822,4939.254204873136,5899.764677515376,0.0
2025-06-12 07:30:00,5462.6809562183125,4930.4755851101345,5893.688780726035,5462.6809562183125,4930.4755851101345,5893.688780726035,0.0
2025-06-12 07:45:00,5458.647889910244,4923.6541936758285,5889.633101275091,5458.647889910244,4923.6541936758285,5889.633101275091,0.0
2025-06-12 08:00:00,5469.899902228099,4931.7759700713605,5902.329405496868,5469.899902228099,4931.7759700713605,5902.329405496868,0.0
2025-06-12 08:15:00,5495.640666505479,4953.641542514954,5930.914501917858,5495.640666505479,4953.641542514954,5930.914501917858,0.0
2025-06-12 08:30:00,5517.188474069633,4971.452380586758,5954.780266583262,5517.188474069633,4971.452380586758,5954.780266583262,0.0
