date,peak_time,p10_mw,p50_mw,p90_mw,actual_peak_mw,actual_util,util50,util90,reliability,c_p50,c_p90,c_growth,c_heat,c_rel,growth_pct,temp_corr,stress_score,stress_level
2025-05-01,15:30,5563.4,5969.0,6386.1,6045.7,0.6717429629629629,0.6632245214253173,0.7095615864743947,HIGH,0.0,0.031871954914649184,0.0,0.5122222222222229,0.0,0.0,36.146666666666675,5.8,NORMAL
2025-05-02,15:30,5558.3,5972.6,6389.1,5811.9,0.6457707407407406,0.6636265407550137,0.7098955330381546,HIGH,0.0,0.032985110127182006,0.007576984051200652,0.5294444444444443,0.0,0.06061587240960522,36.35333333333333,6.0,NORMAL
2025-05-03,00:00,5221.0,5584.1,6037.2,4688.1,0.5208962962962963,0.6204605455806725,0.6707954768043974,HIGH,0.0,0.0,0.0,0.0,0.0,-6.504561304198413,29.046666666666663,0.0,NORMAL
2025-05-04,00:00,4226.3,4626.2,5018.5,4739.8,0.52665,0.5140219066067135,0.5576137061706777,HIGH,0.0,0.0,0.0,0.0,0.0,-17.154779579795186,27.226666666666667,0.0,NORMAL
2025-05-05,23:15,4707.5,5069.5,5413.4,4832.3,0.5369277777777777,0.5632782588211471,0.601490223649816,HIGH,0.0,0.0,1.0,0.0,0.0,9.582539495173782,28.649166666666666,10.0,NORMAL
2025-05-06,15:15,4709.5,5017.6,5362.2,5082.8,0.564751851851852,0.5575117004272534,0.5958002403501287,HIGH,0.0,0.0,0.0,0.25784722222222217,0.0,-1.023749506320788,33.094166666666666,2.6,NORMAL
2025-05-07,15:15,5013.6,5293.8,5662.2,5363.3,0.5959255555555556,0.5882007095058953,0.6291277901601764,HIGH,0.0,0.0,0.6880799330113442,0.24374999999999977,0.0,5.504639464090753,32.925,9.3,NORMAL
2025-05-08,15:15,5218.7,5590.8,5988.6,5458.6,0.6065155555555555,0.6211964509400407,0.6653962812843937,HIGH,0.0,0.0,0.7012007317592053,0.490069444444444,0.0,5.609605854073642,35.88083333333333,11.9,NORMAL
2025-05-09,15:30,5086.4,5439.0,5821.7,5733.3,0.6370303703703704,0.604330704169526,0.6468558039622172,HIGH,0.0,0.0,0.0,0.3561111111111111,0.0,-2.71504235817708,34.27333333333333,3.6,NORMAL
2025-05-10,15:30,5073.5,5401.3,5846.3,5488.6,0.6098418518518519,0.6001388971192537,0.6495930526918643,HIGH,0.0,0.0,0.0,0.2829166666666669,0.0,-0.6936280121713443,33.395,2.8,NORMAL
2025-05-11,14:15,5020.1,5271.0,5708.2,5192.9,0.5769861111111111,0.5856712750900351,0.6342414354553803,HIGH,0.0,0.0,0.0,0.5159722222222219,0.0,-2.4107122698870462,36.19166666666666,5.2,NORMAL
