,actual,p10,p50,p90,reliability,temp_corr,lag24_imputed,lag48_imputed,prev24_completeness,weather_corr_missing
2025-06-11 00:00:00,7305.703333333334,6500.997094274688,7015.67647099876,7497.525147149615,HIGH,32.2,False,False,1.0,False
2025-06-11 00:15:00,7253.926666666666,6446.131499517518,6956.356691235632,7433.879552311802,HIGH,31.95,False,False,1.0,False
2025-06-11 00:30:00,7166.48,6396.870718150383,6902.539553317148,7376.262060078874,HIGH,31.7,False,False,1.0,False
2025-06-11 00:45:00,7074.1466666666665,6328.272816726076,6828.678116221075,7296.846932239619,HIGH,31.45,False,False,1.0,False
2025-06-11 01:00:00,6970.7266666666665,6237.140682376177,6731.489927176173,7192.054333415647,HIGH,31.2,False,False,1.0,False
2025-06-11 01:15:00,6892.596666666667,6137.213968837057,6627.190560920845,7079.614356374761,HIGH,31.071666666666665,False,False,1.0,False
2025-06-11 01:30:00,6804.37,6068.773074011455,6554.858007093917,7002.0008256177825,HIGH,30.943333333333335,False,False,1.0,False
2025-06-11 01:45:00,6724.843333333333,5993.738638096254,6475.498998594542,6916.744562225462,HIGH,30.815000000000005,False,False,1.0,False
2025-06-11 02:00:00,6627.82,5907.290322848396,6384.173698475327,6818.460543341318,HIGH,30.686666666666667,False,False,1.0,False
2025-06-11 02:15:00,6550.66,5820.713116111821,6293.511021214779,6720.9344458468495,HIGH,30.611666666666668,False,False,1.0,False
2025-06-11 02:30:00,6478.353333333333,5740.588165258733,6209.168841771475,6630.283811889455,HIGH,30.53666666666667,False,False,1.0,False
2025-06-11 02:45:00,6397.026666666668,5658.628351235485,6122.661496702314,6537.262238415354,HIGH,30.461666666666666,False,False,1.0,False
2025-06-11 03:00:00,6302.136666666666,5579.7152942322255,6038.987363457678,6447.307502648795,HIGH,30.386666666666667,False,False,1.0,False
2025-06-11 03:15:00,6210.196666666667,5513.162652733948,5968.043158641804,6371.20453376738,HIGH,30.32916666666667,False,False,1.0,False
2025-06-11 03:30:00,6144.81,5438.196168845277,5888.202561975807,6285.3842075751545,HIGH,30.271666666666665,False,False,1.0,False
2025-06-11 03:45:00,6061.62,5360.6441025625345,5805.436819670514,6196.3440623506895,HIGH,30.214166666666667,False,False,1.0,False
2025-06-11 04:00:00,5973.253333333334,5270.411480323256,5709.415365005878,6092.829104568661,HIGH,30.156666666666666,False,False,1.0,False
2025-06-11 04:15:00,5892.453333333334,5208.418972684098,5642.759909301672,6021.275114507951,HIGH,30.261666666666667,False,False,1.0,False
2025-06-11 04:30:00,5830.099999999999,5158.833258548658,5588.548245018034,5963.223597766104,HIGH,30.366666666666667,False,False,1.0,False
2025-06-11 04:45:00,5773.603333333333,5084.616810186231,5508.868088146838,5877.3836296540885,HIGH,30.47166666666667,False,False,1.0,False
2025-06-11 05:00:00,5693.746666666666,5001.906709061027,5420.251051024808,5781.753931842135,HIGH,30.576666666666668,False,False,1.0,False
2025-06-11 05:15:00,5601.493333333333,4904.862804846673,5324.993922216455,5679.125682634823,HIGH,30.825000000000003,False,False,1.0,False
2025-06-11 05:30:00,5482.68,4807.379128734575,5229.068247425509,5575.704259684693,HIGH,31.073333333333334,False,False,1.0,False
2025-06-11 05:45:00,5353.916666666667,4708.214803301273,5131.216165490054,5470.116431055861,HIGH,31.32166666666667,False,False,1.0,False
2025-06-11 06:00:00,5282.733333333334,4652.381197594861,5077.536059252074,5412.560221277295,HIGH,31.57,False,False,1.0,False
2025-06-11 06:15:00,5239.12,4624.18102767981,5051.251837040382,5384.738081721115,HIGH,31.733333333333334,False,False,1.0,False
2025-06-11 06:30:00,5207.5,4586.015211437688,5014.6014967441415,5345.550240022327,HIGH,31.89666666666667,False,False,1.0,False
2025-06-11 06:45:00,5129.4766666666665,4528.819325118147,4958.320201607068,5284.905114756182,HIGH,32.06,False,False,1.0,False
2025-06-11 07:00:00,5102.4766666666665,4514.4101105450145,4945.715426907717,5271.742731562501,HIGH,32.223333333333336,False,False,1.0,False
2025-06-11 07:15:00,5094.893333333333,4509.046837195278,4943.336800912077,5269.672480236544,HIGH,32.665,False,False,1.0,False
2025-06-11 07:30:00,5072.596666666667,4505.276893915845,4942.493303512651,5269.1903652436085,HIGH,33.10666666666667,False,False,1.0,False
2025-06-11 07:45:00,5052.84,4522.08446711144,4962.639755387485,5291.481917276986,HIGH,33.54833333333333,False,False,1.0,False
